"","receiver","id_pk","station_name","deploy_date_time","recover_date_time","deploy_lat","deploy_long","detection_count","sum_deploy"
"98","VR2W-112291",2396,"Wett","00:00.0","00:00.0",51.0134878,3.929684123,243,498
"99","VR2W-112292",1419,"bh-5","00:00.0","00:00.0",51.2503008,3.5426743,247350,266632
"100","VR2W-112292",2033,"s-Dendermonde","00:00.0","00:00.0",51.03855,4.1175,35202,41572
"101","VR2W-112293",2415,"Tst","00:00.0","00:00.0",51.00435542,3.805413233,22,50
"102","VR2W-112294",1409,"bh-21","00:00.0","00:00.0",51.2701028,3.7117942,42960,43436
"103","VR2W-112294",2179,"VLVS8","00:00.0","00:00.0",51.35151,4.15666,220,220
"104","VR2W-112295",1500,"s-8","00:00.0","00:00.0",51.14319,4.33078,6587,8288
"105","VR2W-112295",1641,"bh-16","00:00.0","00:00.0",51.267064,3.6744238,108091,108091
"106","VR2W-112295",2400,"Dend","00:00.0","00:00.0",51.0346571,4.106097714,141,236
"107","VR2W-112296",1442,"bh-37","00:00.0","00:00.0",51.3389165,3.7679196,32772,32891
"108","VR2W-112296",2291,"bn-Walem","00:00.0","00:00.0",51.07183,4.45474,16,133
"109","VR2W-112297",1481,"bh-1","00:00.0","00:00.0",51.3412021,3.2162872,7,7
"110","VR2W-112297",2027,"s-Wetteren","00:00.0","00:00.0",51.00164,3.85695,64,49672
"111","VR2W-112297",2297,"RingvZ","00:00.0","00:00.0",51.00707559,3.751243194,786,49274
"112","VR2W-112298",1360,"soAsp","00:00.0","00:00.0",50.91475257,3.672918896,6479,7770
"113","VR2W-112298",1648,"bh-32","00:00.0","00:00.0",51.3081908,3.7241653,6506,6506
"114","VR2W-112299",1361,"slAsp","00:00.0","00:00.0",50.91736686,3.665685904,10020,11936
"115","VR2W-112299",1393,"ws-18","00:00.0","00:00.0",51.3482621,3.8147323,135,313
"116","VR2W-112370",1620,"ws-W7","00:00.0","00:00.0",51.410173,3.454515,1112,161132
"117","VR2W-113521",1362,"stgOud","00:00.0","00:00.0",50.85235821,3.622367915,125,1590
"118","VR2W-113521",1496,"s-4","00:00.0","00:00.0",51.04231,4.0945,7477,12413
