receiver,id_pk,station_name,deploy_date_time,recover_date_time,deploy_lat,deploy_long,detection_count
VR2W-110784,1264,R10,00:00.0,00:00.0,51.54843,2.9316,125087
VR2W-110784,1265,bpns-WK12,00:00.0,00:00.0,51.461167,3.107,1449
VR2W-110784,1555,bpns-WK12,00:00.0,00:00.0,51.461167,3.107,18548
VR2W-110784,1681,bpns-WK12,00:00.0,00:00.0,51.461167,3.107,2
VR2W-110784,1682,bpns-WK12,00:00.0,00:00.0,51.461167,3.107,54
VR2W-110784,2001,bpns-WK12,00:00.0,00:00.0,51.461167,3.107,8
VR2W-110784,2185,bpns-WK12,00:00.0,00:00.0,51.461167,3.107,26
VR2W-110869,1650,bh-6,00:00.0,00:00.0,51.2505032,3.544414,1040
VR2W-110869,2774,ak-34,00:00.0,00:00.0,51.1282853,5.1413858,101
VR2W-110869,2775,ak-34,00:00.0,00:00.0,51.1282853,5.1413858,167
VR2W-110869,2776,ak-34,00:00.0,00:00.0,51.1282853,5.1413858,292
VR2W-112285,1416,bh-31,00:00.0,00:00.0,51.2903715,3.7164467,21947
VR2W-112285,2129,HH7,00:00.0,00:00.0,51.055307,5.208966,348
VR2W-112285,2430,HH7,00:00.0,00:00.0,51.055307,5.208966,25730
VR2W-112285,2778,bh-31,00:00.0,00:00.0,51.2903715,3.7164467,64
VR2W-112285,2781,HH7,00:00.0,00:00.0,51.055307,5.208966,23374
VR2W-112286,1332,bh-10,00:00.0,00:00.0,51.2596961,3.5803334,895
VR2W-112286,1402,bh-10,00:00.0,00:00.0,51.2596961,3.5803334,162321
VR2W-112286,2029,kn-Lier,00:00.0,00:00.0,51.14993,4.58453,1260
VR2W-112286,2269,kn-Lier,00:00.0,00:00.0,51.14993,4.58453,14
VR2W-112286,2392,RingvWz,00:00.0,00:00.0,51.01406284,3.720740115,13
VR2W-112286,2393,RingvWz,00:00.0,00:00.0,51.01406284,3.720740115,118
VR2W-112286,2394,RingvWz,00:00.0,00:00.0,51.01406284,3.720740115,101
VR2W-112286,2606,kn-Lier,00:00.0,00:00.0,51.14993,4.58453,47
VR2W-112287,1482,bh-2,00:00.0,00:00.0,51.3306565,3.2236553,391
VR2W-112287,2256,s-2,30:00.0,00:00.0,51.00588,3.77876,13817
VR2W-112287,2294,s-2,00:00.0,00:00.0,51.00588,3.77876,157
VR2W-112287,2295,s-2,00:00.0,00:00.0,51.00588,3.77876,3362
VR2W-112287,2296,s-2,00:00.0,00:00.0,51.00588,3.77876,46896
