collectioncode,seriescode,ocean,station_name,station_type,stn_lat,stn_long,stationstatus,locality,model,instrumenttype,deploy_date,last_download,recovery_date,downloads,off_set,the_geom,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.07,4.19,active,,VR2W,rcvr,20171017,,,1,,0101000000C3F5285C8FC21040295C8FC2F5884940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.07,4.45,active,,VR2W,rcvr,20171004,,,1,,0101000000CDCCCCCCCCCC1140295C8FC2F5884940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.09,4.17,active,,VR2W,rcvr,20171016,,,1,,0101000000AE47E17A14AE1040EC51B81E858B4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.09,5.14,active,,VR2W,rcvr,20171024,,,1,,01010000008FC2F5285C8F1440EC51B81E858B4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.1,5.1,active,,VR2W,rcvr,20171026,,,1,,01010000006666666666661440CDCCCCCCCC8C4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.1,5.11,active,,VR2W,rcvr,20171026,,,1,,0101000000713D0AD7A3701440CDCCCCCCCC8C4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.1,5.11,active,,VR2W,rcvr,20171027,,,1,,0101000000713D0AD7A3701440CDCCCCCCCC8C4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.1,5.11,active,,VR2W,rcvr,20171026,,,1,,0101000000713D0AD7A3701440CDCCCCCCCC8C4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.1,5.11,active,,VR2W,rcvr,20171031,,,1,,0101000000713D0AD7A3701440CDCCCCCCCC8C4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.1,5.11,active,,VR2W,rcvr,20171031,,,1,,0101000000713D0AD7A3701440CDCCCCCCCC8C4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.1,5.11,active,,VR2W,rcvr,20171031,,,1,,0101000000713D0AD7A3701440CDCCCCCCCC8C4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.1,5.11,active,,VR2W,rcvr,20171031,,,1,,0101000000713D0AD7A3701440CDCCCCCCCC8C4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.1,5.11,active,,VR2W,rcvr,20171031,,,1,,0101000000713D0AD7A3701440CDCCCCCCCC8C4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.1,5.11,active,,VR2W,rcvr,20171031,,,1,,0101000000713D0AD7A3701440CDCCCCCCCC8C4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.1,5.11,active,,VR2W,rcvr,20171031,,,1,,0101000000713D0AD7A3701440CDCCCCCCCC8C4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.1,5.11,active,,VR2W,rcvr,20171027,,,1,,0101000000713D0AD7A3701440CDCCCCCCCC8C4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.1,5.11,active,,VR2W,rcvr,20171027,,,1,,0101000000713D0AD7A3701440CDCCCCCCCC8C4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.1,5.11,active,,VR2W,rcvr,20171031,,,1,,0101000000713D0AD7A3701440CDCCCCCCCC8C4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.1,5.11,active,,VR2W,rcvr,20170111,,,1,,0101000000713D0AD7A3701440CDCCCCCCCC8C4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.1,5.11,active,,VR2W,rcvr,20171031,,,1,,0101000000713D0AD7A3701440CDCCCCCCCC8C4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.1,5.11,active,,VR2Tx,rcvr,20171031,,,1,,0101000000713D0AD7A3701440CDCCCCCCCC8C4940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.11,4.14,active,,VR2W,rcvr,20171004,,,1,,01010000008FC2F5285C8F1040AE47E17A148E4940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.11,4.24,active,,VR2W,rcvr,20171017,,,1,,0101000000F6285C8FC2F51040AE47E17A148E4940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.12,4.21,active,North Sea,VR2W,rcvr,20171027,,,1,,0101000000D7A3703D0AD710408FC2F5285C8F4940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.12,4.55,active,,VR2W,rcvr,20171004,,,1,,010100000033333333333312408FC2F5285C8F4940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.13,5.14,active,,VR2W,rcvr,20171027,,,1,,01010000008FC2F5285C8F1440713D0AD7A3904940,,,,,,,,,,,,,,,,,,,,,,,,
BPNS,ETN,NE ATLANTIC,bpns,acoustic,51.14,2.57,active,North Sea,VR2W,rcvr,20170406,,,1,,01010000008FC2F5285C8F044052B81E85EB914940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.14,4.33,active,,VR2W,rcvr,20171017,,,1,,010100000052B81E85EB51114052B81E85EB914940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.14,4.33,active,,VR2W,rcvr,20171016,,,1,,010100000052B81E85EB51114052B81E85EB914940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.14,4.59,active,,VR2W,rcvr,20171004,,,1,,01010000005C8FC2F5285C124052B81E85EB914940,,,,,,,,,,,,,,,,,,,,,,,,
BPNS,ETN,NE ATLANTIC,bpns,acoustic,51.15,2.66,active,North Sea,VR2W,rcvr,20170406,,,1,,010100000048E17A14AE4705403333333333934940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.15,4.58,active,,VR2W,rcvr,20171004,,,1,,010100000052B81E85EB5112403333333333934940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.15,5.15,active,,VR2W,rcvr,20171027,,,1,,01010000009A999999999914403333333333934940,,,,,,,,,,,,,,,,,,,,,,,,
BPNS,ETN,NE ATLANTIC,bpns,acoustic,51.16,2.69,active,North Sea,VR2W,rcvr,20170406,,,1,,010100000085EB51B81E85054014AE47E17A944940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.16,4.86,active,,VR2W,rcvr,20171031,,,1,,0101000000713D0AD7A370134014AE47E17A944940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.16,4.87,active,,VR2W,rcvr,20171026,,,1,,01010000007B14AE47E17A134014AE47E17A944940,,,,,,,,,,,,,,,,,,,,,,,,
BPNS,ETN,NE ATLANTIC,bpns,acoustic,51.17,2.6,active,North Sea,VR2W,rcvr,20170406,,,1,,0101000000CDCCCCCCCCCC0440F6285C8FC2954940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.17,4.84,active,,VR2W,rcvr,20171027,,,1,,01010000005C8FC2F5285C1340F6285C8FC2954940,,,,,,,,,,,,,,,,,,,,,,,,
BPNS,ETN,NE ATLANTIC,bpns,acoustic,51.19,2.47,active,North Sea,VR2W,rcvr,20170406,,,1,,0101000000C3F5285C8FC20340B81E85EB51984940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.19,4.33,active,North Sea,VR2W,rcvr,20171016,,,1,,010100000052B81E85EB511140B81E85EB51984940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.19,4.34,active,,VR2W,rcvr,20171017,,,1,,01010000005C8FC2F5285C1140B81E85EB51984940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.19,5.16,active,,VR2W,rcvr,20171027,,,1,,0101000000A4703D0AD7A31440B81E85EB51984940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.22,4.54,active,,VR2W,rcvr,20171025,,,1,,0101000000295C8FC2F52812405C8FC2F5289C4940,,,,,,,,,,,,,,,,,,,,,,,,
